Zip Codes,Sum of Cases - Cumulative,Count of Week Start,Count of Week End,Sum of Cases - Weekly,Sum of Case Rate - Weekly,Sum of Case Rate - Cumulative,Sum of Tests - Weekly,Sum of Tests - Cumulative,Sum of Death Rate - Cumulative,Sum of Death Rate - Weekly,Sum of Population,Sum of Test Rate - Weekly,Sum of Test Rate - Cumulative,Sum of Percent Tested Positive - Weekly,Sum of Percent Tested Positive - Cumulative,Sum of Deaths - Weekly,Sum of Deaths - Cumulative
60601,2845,31,31,213,1448,19386.4,4510,43683,777.4,40.8,454925,30735,297669.3,1.5,3.7,6,114
60602,378,31,31,19,1525,30385.5,485,5705,0,0,38564,38988,458601.5,1,2.2,0,0
60603,186,31,31,10,850,15843.5,345,3914,0,0,36394,29387,333389.8,0.8,0.7,0,0
60604,575,31,31,27,3455,73529.2,351,4354,0,0,24242,44883,556777.5,2.2,4,0,0
60605,6495,31,31,396,1438,23602,7484,89829,115.8,14.4,853089,27195,326425.4,2.1,3.8,4,32
60606,1012,31,31,72,2320,32634.7,1993,25006,483,32.2,96131,64269,806384.8,1.1,0.8,1,15
60607,13546,31,31,749,2529,45777.3,8572,100995,320.7,13.6,917321,28966,341303.1,3.1,6,4,95
60608,47628,31,31,2758,3481,60132.6,19203,250223,1920.5,100.2,2455355,24245,315918.3,5.3,7.4,79,1521
60609,46718,31,31,2643,4300,75970.4,14311,194988,2614.7,133.6,1906345,23271,317079.7,5.7,8.2,82,1608
60610,9545,31,31,698,1787,24462.6,11179,126878,509.9,25.9,1209589,28650,325170.1,2.7,4.4,10,199
60611,6279,31,31,477,1473,19363.9,9636,110156,210.2,12.4,1005206,29717,339715.3,1.5,2.9,4,68
60612,19050,31,31,1002,2919,55521.6,9337,127195,1883.1,90,1063641,27213,370712.1,3.6,5.5,31,646
60613,12708,31,31,828,1656,25358.6,13549,153957,1359.7,62,1553503,27036,307219.7,2.9,5.1,31,681
60614,17592,31,31,1204,1687,24670.4,19715,215067,2199.4,99.4,2210548,27646,301602.8,2.9,4.7,71,1568
60615,11502,31,31,650,1561,27673.7,11195,133699,890.3,38.4,1288453,26936,321678.2,2,3.9,16,370
60616,14017,31,31,863,1586,25736.3,12037,148355,1579.2,78.8,1688384,22099,272391.1,2.9,4.4,43,860
60617,35799,31,31,2275,2758,43374.9,18670,253518,1874.2,96.6,2558554,22617,307167.8,4.3,5.2,80,1547
60618,37650,31,31,2312,2449,39885.6,23481,287085,1123.1,56.3,2926245,24875,304131.8,4.4,5.6,53,1060
60619,26746,31,31,1442,2357,43661.2,14742,213631,2431.9,112.5,1898998,24067,348739.8,4.1,5.2,69,1490
60620,32448,31,31,1727,2537,47650.5,14675,214834,2565.6,117.6,2110976,21550,315486.8,5,6.1,80,1747
60621,14830,31,31,780,2685,51063.8,6106,89195,3822.5,178.9,900302,21025,307124.2,4.6,6.2,52,1110
60622,19575,31,31,1218,2307,37078.6,17083,196318,2366.2,106.1,1636583,32361,371863.7,3.7,5.7,56,1249
60623,85596,31,31,4584,5333,99554.6,19919,287148,3812.7,187.6,2665349,23166,333974.6,6.3,9.9,161,3278
60624,23657,31,31,1258,3480,65426.7,8117,116672,1786.5,85.9,1120898,22448,322673.1,5,7.5,31,646
60625,38925,31,31,2257,2847,49121.2,17856,231998,2829.4,142.7,2456533,22531,292767.8,4.5,6.1,113,2242
60626,28279,31,31,1467,2945,56865,13405,181563,5021.1,241.2,1541630,26956,365097.7,3.7,5.9,120,2497
60628,31909,31,31,1740,2604,47822.5,14340,204055,3651.4,178.5,2068444,21492,305819.4,4.4,5.9,119,2436
60629,90733,31,31,5547,4958,81120.2,25976,346958,1944.8,107.6,3467350,23225,310199.5,6.8,8.9,120,2175
60630,22494,31,31,1377,2400,39226.6,12377,161107,2251.4,116.5,1777664,21579,280948.4,3.8,4.9,67,1291
60631,10113,31,31,689,2333,34247.9,7831,104274,2556.8,149.1,915399,26522,353124,3.1,3.5,44,755
60632,82139,31,31,4763,5233,90223.9,20147,273751,2181.3,112.2,2822209,22133,300696.4,6.9,9.6,102,1986
60633,4854,31,31,364,2831,37713,2797,33920,722.4,46.8,399001,21732,263538.2,4.1,4.1,6,93
60634,42575,31,31,2646,3483,56023.5,19138,263001,1610.9,82.7,2355845,25183,346076.6,4.1,5,63,1224
60636,20472,31,31,1115,3461,63571.9,7034,99713,3835.2,176.7,998293,21841,309638.8,5.4,8.1,57,1235
60637,17080,31,31,950,2002,35992.6,13942,158323,1220.2,58.8,1471074,29382,333634.8,2.8,4.3,28,579
60638,32548,31,31,2167,3686,55356.7,13468,174404,1462,83.3,1822707,22907,296620.6,4.7,6.6,49,860
60639,87176,31,31,4848,5356,96308.8,23395,335627,2696.9,134.6,2806027,25845,370788.9,6.1,8.6,122,2441
60640,23646,31,31,1306,1872,33918.4,17645,221902,2783.3,127.6,2161165,25311,318298.6,2.8,5.1,89,1940
60641,41906,31,31,2565,3610,59003.5,18401,242261,1656.9,85.7,2201713,25908,341102,4.6,5.9,61,1177
60642,5869,31,31,394,1949,29053.1,6075,69778,1258.3,64.7,626231,30074,345418.6,2.9,3.7,13,254
60643,22142,31,31,1235,2471,44399.2,13271,176523,2991.6,152.2,1545970,26611,353966,3.6,5.4,76,1492
60644,32782,31,31,1663,3486,68708.2,11129,167266,4168.4,195.1,1479072,23324,350574.4,5.1,7.9,93,1989
60645,28750,31,31,1483,3108,60232.3,10962,150933,3206.1,144.8,1479692,22962,316209.3,4.5,7.1,69,1530
60646,10418,31,31,606,2167,37224.6,6768,88264,3219.2,157.1,867597,24185,315375,2.8,4.3,44,901
60647,39217,31,31,2345,2681,44814.7,26095,309442,2176.9,106.2,2712779,29819,353611.8,3.9,5.5,93,1905
60649,22916,31,31,1171,2544,49791.4,10265,149591,6144.7,271.7,1426744,22305,325028.2,3.9,5.5,125,2828
60651,46605,31,31,2601,4114,73721,14919,210637,2665.5,126.7,1959758,23599,333191.5,5.8,7.9,80,1685
60652,27275,31,31,1733,3944,62119.9,9656,131312,2250,116.3,1361117,21990,299068.6,6,7.6,51,988
60653,14919,31,31,789,2469,46663,8862,124720,2712.1,131.5,991132,27718,390091.5,3.3,4.9,42,867
60654,5490,31,31,378,1976,28690.8,5786,63248,167.5,10.4,593185,30234,330535.9,2.9,4.9,2,32
60655,9749,31,31,685,2378,33845.8,7344,98113,871,48.6,892924,25495,340622.8,2.7,3.6,14,251
60656,9173,31,31,652,2365,33260.8,5825,77429,819.9,40,854949,21122,280753.6,3.8,4,11,226
60657,13510,31,31,1023,1459,19285.6,19742,215074,894.1,41.4,2171612,28185,307020.5,2.3,4.3,29,626
60659,20737,31,31,1145,2788,50494.3,7581,105204,2410.3,109.4,1273108,18460,256170.1,5,7.6,45,990
60660,13038,31,31,787,1822,30151.2,9455,118231,2118.2,97,1340502,21865,273417,3.2,4.9,42,916
60661,2002,31,31,157,1578,20169.2,2795,29772,0,0,307706,28159,299939.7,1.9,3.5,0,0
60666,,31,31,,,,23,282,0,0,0,0,0,,,0,0
60707,10255,31,31,605,1404,23838.7,3189,56781,627.6,30,1333589,7412,131990.4,3.1,5.8,13,270
60827,2130,31,31,108,378,7453.1,616,11030,591.5,28,885887,2155,38597.8,3.6,7.1,8,169
Unknown,3247,31,31,286,0,0,35289,513598,0,0,0,0,0,0.1,0,4,88
